metric_date,users,purchase_users,sessions,purchase_sessions,product_view_sessions,cart_sessions,checkout_sessions,ordered_checkout_sessions,ordered_purchase_sessions,transactions,revenue_usd,missing_revenue_transactions,user_conversion,session_conversion,revenue_per_user,average_order_value,checkout_completion
2020-12-18,4261,79,4824,78,1057,320,153,100,54,104,6564.0,0,0.01854024876789486,0.01616915422885572,1.5404834545881247,63.11538461538461,0.54
2020-11-20,3477,64,4127,62,1094,3,161,1,1,52,4325.0,0,0.018406672418751796,0.015023019142234069,1.2438884095484612,83.17307692307692,1.0
2020-11-03,4648,46,5347,48,1010,0,144,0,0,0,0.0,0,0.009896729776247849,0.008976996446605573,0.0,,
2020-12-31,2444,22,2619,22,383,94,43,28,14,24,2577.0,0,0.00900163666121113,0.008400152730049638,1.0544189852700492,107.375,0.5
2021-01-14,3909,47,4363,47,846,203,83,52,30,48,3191.0,0,0.012023535431056536,0.010772404308961724,0.8163213097979023,66.47916666666667,0.5769230769230769
2020-12-30,2955,21,3213,21,513,113,38,25,12,20,1561.0,0,0.007106598984771574,0.006535947712418301,0.5282571912013536,78.05,0.48
2021-01-01,2160,12,2308,12,321,68,26,20,10,13,961.0,0,0.005555555555555556,0.005199306759098787,0.4449074074074074,73.92307692307692,0.5
2020-12-01,4308,98,4983,99,1263,461,231,159,73,95,6155.0,0,0.02274837511606314,0.019867549668874173,1.4287372330547818,64.78947368421052,0.4591194968553459
2020-11-07,2004,28,2271,28,589,0,111,0,0,0,0.0,0,0.013972055888223553,0.012329370321444297,0.0,,
2020-11-08,1919,31,2163,31,498,0,100,0,0,0,0.0,0,0.01615424700364773,0.014331946370781322,0.0,,
2020-12-03,4464,86,5182,86,1344,403,228,143,65,86,4277.0,0,0.019265232974910396,0.01659590891547665,0.9581093189964157,49.73255813953488,0.45454545454545453
2021-01-13,4131,34,4570,35,772,179,85,61,24,34,1858.0,0,0.00823045267489712,0.007658643326039387,0.4497700314693779,54.64705882352941,0.39344262295081966
2020-11-10,3260,64,3824,63,951,0,173,0,0,0,0.0,0,0.0196319018404908,0.01647489539748954,0.0,,
2021-01-11,3606,26,3953,26,683,161,56,41,22,25,1389.0,0,0.007210205213533,0.0065772830761447005,0.38519134775374375,55.56,0.5365853658536586
2021-01-03,2579,14,2785,15,420,59,32,18,7,12,524.0,0,0.005428460643660334,0.005385996409335727,0.2031795269484296,43.666666666666664,0.3888888888888889
2021-01-21,4198,49,4687,50,1409,218,107,81,42,50,4206.0,0,0.011672224868985231,0.010667804565820354,1.0019056693663648,84.12,0.5185185185185185
2020-12-14,4552,84,5098,86,1065,379,187,125,68,91,8350.0,0,0.01845342706502636,0.016869360533542564,1.8343585237258349,91.75824175824175,0.544
2021-01-10,2772,14,3002,15,449,84,33,22,11,14,974.0,0,0.005050505050505051,0.004996668887408394,0.3513708513708514,69.57142857142857,0.5
2020-11-25,3988,84,4604,85,1189,80,225,29,10,95,7674.0,0,0.02106318956870612,0.0184622067767159,1.9242728184553661,80.77894736842106,0.3448275862068966
2020-11-01,2365,13,2625,13,537,1,95,1,0,0,0.0,0,0.0054968287526427064,0.004952380952380952,0.0,,0.0
2020-11-18,3505,49,4126,50,1028,207,159,77,27,57,4098.0,0,0.013980028530670471,0.012118274357731459,1.1691868758915835,71.89473684210526,0.35064935064935066
2021-01-09,2958,18,3258,18,520,109,39,26,14,17,1210.0,0,0.006085192697768763,0.0055248618784530384,0.4090601757944557,71.17647058823529,0.5384615384615384
2020-12-10,5241,126,5993,130,1413,456,267,170,87,136,10698.0,0,0.024041213508872353,0.021691973969631236,2.0412135088723526,78.66176470588235,0.5117647058823529
2020-11-19,3566,44,4189,47,1063,39,127,10,5,41,2915.0,0,0.012338754907459339,0.011219861542134162,0.8174425126191811,71.09756097560975,0.5
2020-11-09,2805,40,3271,43,789,0,135,0,0,0,0.0,0,0.0142602495543672,0.013145826964231121,0.0,,
2021-01-22,3605,86,4089,89,1147,214,155,104,65,91,5413.0,0,0.023855755894590845,0.021765712888236734,1.5015256588072121,59.48351648351648,0.625
2020-11-26,3626,54,4177,56,896,287,191,108,39,54,4133.0,0,0.014892443463872035,0.01340675125688293,1.139823496966354,76.53703703703704,0.3611111111111111
2020-11-02,3262,39,3726,40,821,0,130,0,0,0,0.0,0,0.011955855303494788,0.010735373054213635,0.0,,
2020-12-09,5531,126,6282,133,1269,424,258,172,101,140,10443.0,0,0.022780690652684867,0.02117160140082776,1.8880853371903814,74.59285714285714,0.5872093023255814
2020-11-21,2755,35,3190,34,814,0,125,0,0,33,2168.0,0,0.012704174228675136,0.010658307210031349,0.7869328493647912,65.6969696969697,
2020-12-19,3236,40,3587,39,724,184,90,64,31,50,2767.0,0,0.012360939431396786,0.010872595483691107,0.8550679851668727,55.34,0.484375
2020-11-15,1957,21,2213,23,497,0,110,0,0,21,1483.0,0,0.010730710270822688,0.010393131495707185,0.7577925396014308,70.61904761904762,
2020-12-22,3405,56,3838,55,910,219,96,69,43,56,3071.0,0,0.01644640234948605,0.0143303804064617,0.9019089574155653,54.839285714285715,0.6231884057971014
2021-01-27,4017,49,4599,51,1191,235,120,72,29,12,457.0,0,0.01219815782922579,0.011089367253750815,0.1137664924072691,38.083333333333336,0.4027777777777778
2020-11-04,3734,30,4325,28,879,0,118,0,0,0,0.0,0,0.008034279592929834,0.006473988439306359,0.0,,
2020-11-22,2359,29,2687,29,670,0,109,0,0,29,1714.0,0,0.012293344637558287,0.010792705619650168,0.7265790589232726,59.10344827586207,
2020-12-17,4711,88,5345,94,1250,342,157,102,64,122,6537.0,0,0.018679685841647208,0.017586529466791394,1.3876034812141795,53.58196721311475,0.6274509803921569
2020-12-21,3627,48,4006,50,820,201,89,55,33,50,3383.0,0,0.013234077750206782,0.012481278082875686,0.9327267714364489,67.66,0.6
2021-01-08,3803,34,4262,33,671,156,62,43,24,31,1699.0,0,0.008940310281356823,0.0077428437353355235,0.4467525637654483,54.806451612903224,0.5581395348837209
2020-12-13,3402,62,3699,63,719,256,135,88,51,68,4395.0,0,0.018224573780129337,0.0170316301703163,1.2918871252204585,64.63235294117646,0.5795454545454546
2020-12-25,2491,17,2645,17,361,81,36,28,12,16,552.0,0,0.006824568446407065,0.006427221172022685,0.2215977519068647,34.5,0.42857142857142855
2020-11-23,3421,62,3960,64,952,0,172,0,0,68,4228.0,0,0.018123355743934522,0.01616161616161616,1.235895936860567,62.1764705882353,
2020-11-16,3085,68,3532,67,875,35,165,12,7,68,5000.0,0,0.022042139384116692,0.018969422423556058,1.6207455429497568,73.52941176470588,0.5833333333333334
2020-11-27,3512,89,3977,89,874,328,194,142,77,89,6378.0,0,0.025341685649202732,0.022378677395021373,1.8160592255125285,71.66292134831461,0.5422535211267606
2020-11-06,2813,48,3319,48,852,0,154,0,0,0,0.0,0,0.017063633131887666,0.014462187405845135,0.0,,
2020-12-24,2601,22,2798,22,477,101,39,24,14,21,1160.0,0,0.008458285274894272,0.007862759113652609,0.4459823144944252,55.23809523809524,0.5833333333333334
2021-01-23,2824,42,3132,41,739,128,78,49,28,41,2747.0,0,0.014872521246458924,0.013090676883780333,0.9727337110481586,67.0,0.5714285714285714
2020-12-15,4992,115,5741,119,1244,407,193,130,81,131,9482.0,0,0.023036858974358976,0.02072809615049643,1.8994391025641026,72.38167938931298,0.6230769230769231
2020-11-24,3821,96,4422,97,1129,0,210,0,0,106,7382.0,0,0.025124313007066214,0.02193577566711895,1.9319549856058624,69.64150943396227,
2021-01-17,2716,14,2988,14,455,90,35,21,12,12,481.0,0,0.005154639175257732,0.004685408299866131,0.17709867452135494,40.083333333333336,0.5714285714285714
2021-01-29,3386,51,3791,53,884,161,93,56,35,6,190.0,0,0.015062020082693443,0.013980480084410446,0.05611340815121087,31.666666666666668,0.625
2020-12-20,2966,19,3288,18,556,127,52,37,14,19,1399.0,0,0.0064059339177343225,0.005474452554744526,0.47167902899527986,73.63157894736842,0.3783783783783784
2021-01-26,3586,51,4089,49,963,143,87,53,35,22,1259.0,0,0.01422197434467373,0.0119833700171191,0.3510875627440045,57.22727272727273,0.660377358490566
2021-01-04,3079,16,3367,15,525,101,30,18,9,16,834.0,0,0.005196492367651835,0.004455004455004455,0.2708671646638519,52.125,0.5
2021-01-18,3226,18,3610,18,517,112,47,33,15,17,1182.0,0,0.005579665220086794,0.004986149584487534,0.36639801611903283,69.52941176470588,0.45454545454545453
2020-12-28,3042,32,3356,33,538,129,48,38,26,33,1955.0,0,0.01051939513477975,0.009833134684147794,0.6426692965154504,59.24242424242424,0.6842105263157895
2020-12-12,3750,99,4135,100,880,313,192,130,79,101,6284.0,0,0.0264,0.02418379685610641,1.6757333333333333,62.21782178217822,0.6076923076923076
2021-01-30,2610,28,2900,26,605,109,51,31,16,5,159.0,0,0.010727969348659003,0.00896551724137931,0.06091954022988506,31.8,0.5161290322580645
2020-12-29,3124,22,3435,21,531,127,42,27,12,24,1418.0,0,0.007042253521126761,0.00611353711790393,0.4539052496798976,59.083333333333336,0.4444444444444444
2020-11-28,3010,73,3387,74,755,281,159,103,59,69,6214.0,0,0.02425249169435216,0.021848243283141423,2.0644518272425247,90.05797101449275,0.5728155339805825
2020-12-08,6689,110,7562,107,1443,467,266,166,77,119,8658.0,0,0.016444909552997457,0.01414969584765935,1.2943638809986544,72.75630252100841,0.463855421686747
2020-11-30,3971,126,4583,126,1191,427,241,179,109,133,11932.0,0,0.03173004281037522,0.027492908575169103,3.0047846889952154,89.71428571428571,0.6089385474860335
2020-12-23,3123,53,3443,53,726,209,92,67,41,67,4418.0,0,0.01697086135126481,0.015393552134766193,1.414665385846942,65.94029850746269,0.6119402985074627
2020-12-26,2472,16,2676,16,409,75,25,15,10,15,725.0,0,0.006472491909385114,0.005979073243647235,0.29328478964401294,48.333333333333336,0.6666666666666666
