model,bucket,row_count,lower,upper,mean_prediction,conversion_rate
logistic,0,2241,6.508771674363006e-08,0.01940976049043473,0.016546505204010666,0.0142793395805444
logistic,1,2241,0.019410500919958433,0.021280142330114334,0.020363056737309836,0.007585899152164213
logistic,2,2241,0.021280657099791853,0.025266421970865708,0.022817087010747604,0.010263275323516287
logistic,3,2240,0.02527687917873611,0.03442785325670431,0.03056335814208228,0.025892857142857145
logistic,4,2241,0.03442868844860335,0.038674523773922845,0.03659601652724821,0.030789825970548863
logistic,5,2241,0.038676799627748365,0.04679523408651999,0.04191050347722636,0.03034359660865685
logistic,6,2240,0.046796376381811146,0.05964751899475158,0.05362781707706784,0.049553571428571426
logistic,7,2241,0.0596499997356425,0.08614648491150505,0.06813779493445327,0.052655064703257475
logistic,8,2241,0.08617979356869641,0.13025088489621697,0.11213196870404309,0.10932619366354306
logistic,9,2241,0.13025195282683105,0.3252882466269148,0.16657085119515846,0.13029897367246765
boosting,0,2241,0.0038577507499446845,0.00796286936499453,0.006513550634164425,0.0031236055332440876
boosting,1,2241,0.007965313878050861,0.014706378749314322,0.011406178859973422,0.006693440428380187
boosting,2,2241,0.014716191937514085,0.024973864333454623,0.019093465962853027,0.0142793395805444
boosting,3,2240,0.024982405652025575,0.03785691457908962,0.03144094699366756,0.01830357142857143
boosting,4,2241,0.037862244706598054,0.05053841673915077,0.044150730956257385,0.035698348951361
boosting,5,2241,0.05054625862307348,0.06400488180472157,0.057197403422271476,0.035698348951361
boosting,6,2240,0.06401524791033256,0.08092050558049986,0.07183444218632258,0.05223214285714286
boosting,7,2241,0.0809564668070752,0.10677553968328814,0.09297430319304525,0.06336456938866578
boosting,8,2241,0.1067880432324113,0.15031862337599475,0.12635499416503854,0.10040160642570281
boosting,9,2241,0.15035173882488873,0.4782167806667562,0.20540646928692452,0.13119143239625167
boosting_sigmoid,0,2241,0.005158553877940676,0.009972125800229648,0.00830216950190043,0.0031236055332440876
boosting_sigmoid,1,2241,0.009974909067836605,0.017415634750165186,0.013804285376099932,0.006693440428380187
boosting_sigmoid,2,2241,0.017426192357984194,0.028172235373746416,0.022052694975462403,0.0142793395805444
boosting_sigmoid,3,2240,0.028180984359804897,0.041101063761686096,0.03470364632547012,0.01830357142857143
boosting_sigmoid,4,2241,0.041106317965300065,0.0534311325026559,0.04724732841588602,0.035698348951361
boosting_sigmoid,5,2241,0.05343866252094673,0.06622184450808195,0.05977869213067624,0.035698348951361
boosting_sigmoid,6,2240,0.06623159220331931,0.08196293907539003,0.07353367629941406,0.05223214285714286
boosting_sigmoid,7,2241,0.08199608450265394,0.1055162301635533,0.0929872956583618,0.06336456938866578
boosting_sigmoid,8,2241,0.10552750270412974,0.144271630376123,0.12301848604645807,0.10040160642570281
boosting_sigmoid,9,2241,0.14430079167237103,0.4300388377178315,0.19223755554966684,0.13119143239625167
