evaluation_window,model_version,feature,statistic,value,unseen_rate
2020-12-28/2021-01-03,6c6081f363508953,day_of_week,psi,4.581740763538669,
2020-12-28/2021-01-03,6c6081f363508953,hour_utc,psi,0.012845368603092704,
2020-12-28/2021-01-03,6c6081f363508953,early_events,psi,0.06630953734856453,
2020-12-28/2021-01-03,6c6081f363508953,early_page_views,psi,0.08151362797471311,
2020-12-28/2021-01-03,6c6081f363508953,early_searches,psi,0.002531326662092029,
2020-12-28/2021-01-03,6c6081f363508953,seconds_to_view,psi,0.143456502323654,
2020-12-28/2021-01-03,6c6081f363508953,unique_products,psi,0.045317990801239175,
2020-12-28/2021-01-03,6c6081f363508953,category_diversity,psi,0.030142692317583014,
2020-12-28/2021-01-03,6c6081f363508953,device,total_variation,0.011747248779480362,0.0
2020-12-28/2021-01-03,6c6081f363508953,country,total_variation,0.07305782155011516,0.0
2020-12-28/2021-01-03,6c6081f363508953,source,total_variation,0.050789781321610966,0.0
2020-12-28/2021-01-03,6c6081f363508953,medium,total_variation,0.06660797848211462,0.0
2020-12-28/2021-01-03,6c6081f363508953,visitor_type,total_variation,0.1241139245924412,0.0
2021-01-04/2021-01-10,6c6081f363508953,day_of_week,psi,0.023033657135884802,
2021-01-04/2021-01-10,6c6081f363508953,hour_utc,psi,0.0034559847091531004,
2021-01-04/2021-01-10,6c6081f363508953,early_events,psi,0.03527217509449396,
2021-01-04/2021-01-10,6c6081f363508953,early_page_views,psi,0.13053653072358556,
2021-01-04/2021-01-10,6c6081f363508953,early_searches,psi,0.00031164460237946106,
2021-01-04/2021-01-10,6c6081f363508953,seconds_to_view,psi,0.08997917875664721,
2021-01-04/2021-01-10,6c6081f363508953,unique_products,psi,0.006920002872633182,
2021-01-04/2021-01-10,6c6081f363508953,category_diversity,psi,0.003900591031336475,
2021-01-04/2021-01-10,6c6081f363508953,device,total_variation,0.009455549118832772,0.0
2021-01-04/2021-01-10,6c6081f363508953,country,total_variation,0.05368266752943124,0.0
2021-01-04/2021-01-10,6c6081f363508953,source,total_variation,0.023602090559394176,0.0
2021-01-04/2021-01-10,6c6081f363508953,medium,total_variation,0.023854272940392877,0.0
2021-01-04/2021-01-10,6c6081f363508953,visitor_type,total_variation,0.04602202751573281,0.0
2021-01-11/2021-01-17,6c6081f363508953,day_of_week,psi,0.0067530639648282365,
2021-01-11/2021-01-17,6c6081f363508953,hour_utc,psi,0.003596626088016421,
2021-01-11/2021-01-17,6c6081f363508953,early_events,psi,0.056599549655634275,
2021-01-11/2021-01-17,6c6081f363508953,early_page_views,psi,0.15631848632002354,
2021-01-11/2021-01-17,6c6081f363508953,early_searches,psi,0.0002648821723595367,
2021-01-11/2021-01-17,6c6081f363508953,seconds_to_view,psi,0.0911933839883042,
2021-01-11/2021-01-17,6c6081f363508953,unique_products,psi,0.011179525524418456,
2021-01-11/2021-01-17,6c6081f363508953,category_diversity,psi,0.0009745524836541207,
2021-01-11/2021-01-17,6c6081f363508953,device,total_variation,0.007581225563883529,0.0
2021-01-11/2021-01-17,6c6081f363508953,country,total_variation,0.0373866264294137,0.0
2021-01-11/2021-01-17,6c6081f363508953,source,total_variation,0.016233643009635146,0.0
2021-01-11/2021-01-17,6c6081f363508953,medium,total_variation,0.015333929323411492,0.0
2021-01-11/2021-01-17,6c6081f363508953,visitor_type,total_variation,0.044345201000204115,0.0
2021-01-18/2021-01-24,6c6081f363508953,day_of_week,psi,0.101503024349358,
2021-01-18/2021-01-24,6c6081f363508953,hour_utc,psi,0.0020334455672850068,
2021-01-18/2021-01-24,6c6081f363508953,early_events,psi,0.03311570044301966,
2021-01-18/2021-01-24,6c6081f363508953,early_page_views,psi,0.023471009460249836,
2021-01-18/2021-01-24,6c6081f363508953,early_searches,psi,0.00015214166838799017,
2021-01-18/2021-01-24,6c6081f363508953,seconds_to_view,psi,0.28459847220333245,
2021-01-18/2021-01-24,6c6081f363508953,unique_products,psi,0.16501797967920784,
2021-01-18/2021-01-24,6c6081f363508953,category_diversity,psi,0.11552671131776622,
2021-01-18/2021-01-24,6c6081f363508953,device,total_variation,0.0019432746760247623,0.0
2021-01-18/2021-01-24,6c6081f363508953,country,total_variation,0.03014901420890167,0.0
2021-01-18/2021-01-24,6c6081f363508953,source,total_variation,0.02620841509465374,0.0
2021-01-18/2021-01-24,6c6081f363508953,medium,total_variation,0.02706911775945252,0.0
2021-01-18/2021-01-24,6c6081f363508953,visitor_type,total_variation,0.05675616948471113,0.0
2021-01-25/2021-01-31,6c6081f363508953,day_of_week,psi,0.6676987980890068,
2021-01-25/2021-01-31,6c6081f363508953,hour_utc,psi,0.005708886039424717,
2021-01-25/2021-01-31,6c6081f363508953,early_events,psi,0.05879003276282257,
2021-01-25/2021-01-31,6c6081f363508953,early_page_views,psi,0.04362410467296007,
2021-01-25/2021-01-31,6c6081f363508953,early_searches,psi,0.0002010025569837339,
2021-01-25/2021-01-31,6c6081f363508953,seconds_to_view,psi,0.36407122313548224,
2021-01-25/2021-01-31,6c6081f363508953,unique_products,psi,0.19383324680547648,
2021-01-25/2021-01-31,6c6081f363508953,category_diversity,psi,0.11498364343645803,
2021-01-25/2021-01-31,6c6081f363508953,device,total_variation,0.0028162605406283608,0.0
2021-01-25/2021-01-31,6c6081f363508953,country,total_variation,0.043911153163408774,0.0
2021-01-25/2021-01-31,6c6081f363508953,source,total_variation,0.006120208552081084,0.0
2021-01-25/2021-01-31,6c6081f363508953,medium,total_variation,0.01137436977856407,0.0
2021-01-25/2021-01-31,6c6081f363508953,visitor_type,total_variation,0.04732305875972573,0.0
