dimension,segment,sessions,purchase_sessions,viewed,cart,checkout,purchased,eligible_for_comparison,checkout_completion,interval
country,(not set),2882,34,608,106,36,16,False,0.4444444444444444,"[0.2954126874008022, 0.6041893824430271]"
country,Albania,99,1,19,4,3,1,False,0.3333333333333333,"[0.06149194472039626, 0.7923403991979523]"
country,Algeria,220,4,60,14,6,2,False,0.3333333333333333,"[0.09677141110578041, 0.700006684861608]"
country,Argentina,899,10,193,48,13,7,False,0.5384615384615384,"[0.29143795714506004, 0.7679393219046169]"
country,Armenia,88,1,27,2,2,1,False,0.5,"[0.09453120573423068, 0.9054687942657693]"
country,Australia,3341,46,727,132,51,24,False,0.47058823529411764,"[0.3405299020949959, 0.6047669578990353]"
country,Austria,964,21,237,42,19,11,False,0.5789473684210527,"[0.3627590353425503, 0.7685810871754577]"
country,Azerbaijan,144,0,31,6,1,0,False,0.0,"[0.0, 0.7934506856227627]"
country,Bahamas,81,1,16,3,2,1,False,0.5,"[0.09453120573423068, 0.9054687942657693]"
country,Bahrain,73,1,20,3,0,0,False,,"[None, None]"
country,Bangladesh,729,8,152,40,14,6,False,0.42857142857142855,"[0.2138079890447411, 0.6740935542034925]"
country,Belarus,155,1,33,8,4,0,False,0.0,"[0.0, 0.4898908364545974]"
country,Belgium,1499,16,318,67,25,10,False,0.4,"[0.2340330237774797, 0.5926054264103301]"
country,Bolivia,91,2,15,4,2,1,False,0.5,"[0.09453120573423068, 0.9054687942657693]"
country,Bosnia & Herzegovina,81,1,12,3,2,1,False,0.5,"[0.09453120573423068, 0.9054687942657693]"
country,Brazil,3596,55,721,144,60,32,False,0.5333333333333333,"[0.4089342702715789, 0.6537209395856151]"
country,Bulgaria,399,5,92,14,4,2,False,0.5,"[0.15003898915214947, 0.8499610108478506]"
country,Cambodia,147,1,47,3,2,0,False,0.0,"[0.0, 0.657619772493347]"
country,Canada,26824,390,5852,1130,424,226,True,0.5330188679245284,"[0.4854468988108477, 0.5799979042177777]"
country,Chile,654,8,136,21,9,4,False,0.4444444444444444,"[0.18877852109766458, 0.733348706504507]"
country,China,6258,80,1344,270,88,43,False,0.48863636363636365,"[0.3868786464057155, 0.5913446960184867]"
country,Colombia,1701,31,355,74,26,14,False,0.5384615384615384,"[0.3545793874685879, 0.7124414646960879]"
country,Costa Rica,167,4,35,7,4,3,False,0.75,"[0.30064184258240184, 0.9544127391902995]"
country,Croatia,448,2,90,16,10,1,False,0.1,"[0.017876213095072924, 0.40415002679523854]"
country,Cyprus,123,2,23,6,2,2,False,1.0,"[0.342380227506653, 1.0]"
country,Czechia,944,15,188,45,24,10,False,0.4166666666666667,"[0.24467602609811764, 0.6116533413477125]"
country,Denmark,1002,14,234,54,17,9,False,0.5294117647058824,"[0.30963235060004424, 0.7383489355759056]"
country,Dominican Republic,215,5,54,16,4,2,False,0.5,"[0.15003898915214947, 0.8499610108478506]"
country,Ecuador,308,5,70,10,3,2,False,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]"
country,Egypt,750,9,155,24,8,4,False,0.5,"[0.2152160622138775, 0.7847839377861225]"
country,El Salvador,146,3,33,8,3,3,False,1.0,"[0.43850296824495444, 1.0]"
country,Estonia,119,0,23,2,0,0,False,,"[None, None]"
country,Finland,582,10,132,27,9,6,False,0.6666666666666666,"[0.3542021355803961, 0.879416181613089]"
country,France,7162,102,1493,277,100,60,True,0.6,"[0.5020025867910618, 0.6905987135675411]"
country,Georgia,158,5,29,4,0,0,False,,"[None, None]"
country,Germany,6393,81,1247,220,87,46,False,0.5287356321839081,"[0.4248635939682499, 0.6301773539085249]"
country,Ghana,74,0,17,4,2,0,False,0.0,"[0.0, 0.657619772493347]"
country,Greece,1337,21,295,55,19,12,False,0.631578947368421,"[0.41039533164803055, 0.8085048725486493]"
country,Guatemala,139,4,46,11,3,1,False,0.3333333333333333,"[0.06149194472039626, 0.7923403991979523]"
country,Honduras,69,1,16,2,0,0,False,,"[None, None]"
country,Hong Kong,2208,33,507,77,26,17,False,0.6538461538461539,"[0.4622057118881081, 0.8058776967705948]"
country,Hungary,535,4,121,21,5,1,False,0.2,"[0.036224108632430196, 0.6244653702374748]"
country,Iceland,104,1,28,7,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,India,33769,449,7264,1329,473,256,True,0.5412262156448203,"[0.49616791904015867, 0.5856202713081666]"
country,Indonesia,3244,26,653,98,33,16,False,0.48484848484848486,"[0.3250404210813369, 0.6478162455108586]"
country,Iraq,241,5,66,14,5,4,False,0.8,"[0.3755346297625252, 0.9637758913675698]"
country,Ireland,2147,32,500,94,33,20,False,0.6060606060606061,"[0.4368344081994022, 0.7531689256552292]"
country,Israel,1683,18,310,58,20,9,False,0.45,"[0.2581978582556242, 0.6579146575496577]"
country,Italy,4998,55,1109,200,74,32,False,0.43243243243243246,"[0.3256611865706735, 0.5458725674018112]"
country,Jamaica,111,0,23,3,0,0,False,,"[None, None]"
country,Japan,4732,76,1016,182,69,39,False,0.5652173913043478,"[0.4478840361527429, 0.6756719736486849]"
country,Jordan,206,2,35,5,2,2,False,1.0,"[0.342380227506653, 1.0]"
country,Kazakhstan,205,2,41,9,2,1,False,0.5,"[0.09453120573423068, 0.9054687942657693]"
country,Kenya,224,3,49,2,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,Kosovo,71,1,16,1,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,Kuwait,208,4,45,9,4,1,False,0.25,"[0.0455872608097006, 0.6993581574175982]"
country,Latvia,153,2,25,3,1,0,False,0.0,"[0.0, 0.7934506856227627]"
country,Lebanon,139,2,19,1,0,0,False,,"[None, None]"
country,Lithuania,345,2,68,8,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,Luxembourg,75,1,21,8,3,1,False,0.3333333333333333,"[0.06149194472039626, 0.7923403991979523]"
country,Macao,88,2,14,2,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,Malaysia,1872,31,376,88,26,19,False,0.7307692307692307,"[0.5391695962082381, 0.8629555167798162]"
country,Malta,70,4,18,3,2,2,False,1.0,"[0.342380227506653, 1.0]"
country,Mexico,3031,42,673,128,38,21,False,0.5526315789473685,"[0.39706297121992473, 0.6985359900194876]"
country,Mongolia,100,2,23,5,1,0,False,0.0,"[0.0, 0.7934506856227627]"
country,Morocco,526,5,101,24,3,1,False,0.3333333333333333,"[0.06149194472039626, 0.7923403991979523]"
country,Myanmar (Burma),130,0,24,1,0,0,False,,"[None, None]"
country,Nepal,150,0,27,3,1,0,False,0.0,"[0.0, 0.7934506856227627]"
country,Netherlands,4073,61,886,157,55,33,False,0.6,"[0.4681279921012138, 0.7188150276753689]"
country,New Zealand,458,5,110,19,5,3,False,0.6,"[0.2307242812760129, 0.8823792257673522]"
country,Nigeria,512,7,104,15,7,4,False,0.5714285714285714,"[0.2504583645276572, 0.8417801447485302]"
country,North Macedonia,162,3,28,6,3,2,False,0.6666666666666666,"[0.2076596008020477, 0.9385080552796037]"
country,Norway,558,2,113,31,12,2,False,0.16666666666666666,"[0.04696514218385381, 0.4480308622529735]"
country,Oman,83,0,10,2,0,0,False,,"[None, None]"
country,Pakistan,1578,20,314,44,16,10,False,0.625,"[0.38641040545502714, 0.8151876744113636]"
country,Palestine,147,2,34,7,4,2,False,0.5,"[0.15003898915214947, 0.8499610108478506]"
country,Panama,97,1,26,6,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,Paraguay,72,1,11,3,1,1,False,1.0,"[0.2065493143772374, 1.0]"
country,Peru,1676,24,372,70,31,14,False,0.45161290322580644,"[0.2916173598052002, 0.622278323626455]"
country,Philippines,1745,24,384,64,26,13,False,0.5,"[0.3206059352575904, 0.6793940647424096]"
country,Poland,3142,50,655,132,65,32,False,0.49230769230769234,"[0.37463839458541426, 0.6108354751272451]"
country,Portugal,1555,19,297,51,15,10,False,0.6666666666666666,"[0.41713547738519763, 0.8482367556028527]"
country,Puerto Rico,252,4,42,10,4,2,False,0.5,"[0.15003898915214947, 0.8499610108478506]"
country,Qatar,147,1,35,8,1,0,False,0.0,"[0.0, 0.7934506856227627]"
country,Romania,917,6,196,30,9,4,False,0.4444444444444444,"[0.18877852109766458, 0.733348706504507]"
country,Russia,2336,40,539,89,26,21,False,0.8076923076923077,"[0.62123742880683, 0.9149293885105759]"
country,Saudi Arabia,771,9,158,29,8,6,False,0.75,"[0.40927543031016883, 0.9285207872478909]"
country,Serbia,287,4,64,11,6,2,False,0.3333333333333333,"[0.09677141110578041, 0.700006684861608]"
country,Singapore,4741,55,1043,185,66,32,False,0.48484848484848486,"[0.36846962670606753, 0.6028940871428277]"
country,Slovakia,454,6,83,10,0,0,False,,"[None, None]"
country,Slovenia,283,9,61,13,5,3,False,0.6,"[0.2307242812760129, 0.8823792257673522]"
country,South Africa,616,4,123,21,7,2,False,0.2857142857142857,"[0.08221892400405661, 0.6410655481673807]"
country,South Korea,4523,52,918,175,70,31,False,0.44285714285714284,"[0.33249528909305326, 0.55916448946812]"
country,Spain,6667,99,1388,268,105,61,True,0.580952380952381,"[0.48535695248887656, 0.6708335302940296]"
country,Sri Lanka,618,9,139,36,8,4,False,0.5,"[0.2152160622138775, 0.7847839377861225]"
country,Sweden,1966,23,435,78,30,16,False,0.5333333333333333,"[0.36142299619873297, 0.6976761109230025]"
country,Switzerland,1918,19,404,77,29,14,False,0.4827586206896552,"[0.3138609015268348, 0.6556897811800528]"
country,Taiwan,6057,80,1309,249,86,46,False,0.5348837209302325,"[0.4302430272177625, 0.6365412845995113]"
country,Thailand,1586,27,328,55,26,17,False,0.6538461538461539,"[0.4622057118881081, 0.8058776967705948]"
country,Trinidad & Tobago,71,0,10,1,0,0,False,,"[None, None]"
country,Tunisia,183,4,44,10,4,3,False,0.75,"[0.30064184258240184, 0.9544127391902995]"
country,Turkey,3646,54,766,137,51,30,False,0.5882352941176471,"[0.45165337206371564, 0.7124560479541906]"
country,Ukraine,1323,11,259,55,16,8,False,0.5,"[0.2799956361032601, 0.7200043638967399]"
country,United Arab Emirates,1145,12,225,33,12,9,False,0.75,"[0.46769466506643426, 0.9110583316059453]"
country,United Kingdom,11327,151,2400,446,157,91,True,0.5796178343949044,"[0.5014070665812723, 0.6540254952924046]"
country,United States,158155,2117,33921,6364,2282,1225,True,0.5368098159509203,"[0.5163062594313291, 0.5571896513859828]"
country,Uruguay,175,6,45,15,7,3,False,0.42857142857142855,"[0.15821985525146964, 0.7495416354723428]"
country,Venezuela,144,1,22,3,2,0,False,0.0,"[0.0, 0.657619772493347]"
country,Vietnam,1537,22,352,56,15,11,False,0.7333333333333333,"[0.48049565944019423, 0.8910254667430763]"
device,desktop,208942,2749,44819,8303,2975,1567,True,0.5267226890756302,"[0.5087584854279501, 0.5446179705526737]"
device,mobile,143185,1995,30501,5773,2101,1150,True,0.5473584007615421,"[0.5260074721094478, 0.5685364657087933]"
device,tablet,8002,104,1700,304,111,61,True,0.5495495495495496,"[0.4568803105775983, 0.6389039132816152]"
source_medium,(data deleted) / (data deleted),22233,698,5656,1356,595,375,True,0.6302521008403361,"[0.5907439407323575, 0.6680891739708953]"
source_medium,(data deleted) / referral,3,0,1,0,0,0,False,,"[None, None]"
source_medium,(direct) / (none),83459,1079,17678,3337,1199,632,True,0.5271059216013344,"[0.4988045644151939, 0.5552341449453297]"
source_medium,<Other> / (data deleted),396,9,99,18,6,4,False,0.6666666666666666,"[0.29999331513839184, 0.9032285888942195]"
source_medium,<Other> / <Other>,52057,506,10589,1886,640,294,True,0.459375,"[0.42112286211231725, 0.4981119133318627]"
source_medium,<Other> / cpc,1,0,1,1,0,0,False,,"[None, None]"
source_medium,<Other> / organic,10163,97,2077,367,120,59,True,0.49166666666666664,"[0.4038757172769723, 0.5799746021633395]"
source_medium,<Other> / referral,34672,471,7455,1384,481,263,True,0.5467775467775468,"[0.5020946061925803, 0.590719238789769]"
source_medium,google / <Other>,1,0,0,0,0,0,False,,"[None, None]"
source_medium,google / cpc,15617,153,3167,532,174,87,True,0.5,"[0.4265145108679817, 0.5734854891320182]"
source_medium,google / organic,112678,1250,23663,4122,1411,729,True,0.5166548547129696,"[0.4905706652259483, 0.5426486044717151]"
source_medium,shop.googlemerchandisestore.com / referral,28849,585,6634,1377,561,335,True,0.5971479500891266,"[0.5560337146310119, 0.6369407887412724]"
visitor_type,new_proxy,261238,1780,52171,8413,2563,1093,True,0.42645337495122904,"[0.4074307587113853, 0.44569612658786956]"
visitor_type,returning_proxy,98891,3068,24849,5967,2624,1685,True,0.6421493902439024,"[0.623612314696324, 0.660270869160127]"
